id	type	language	institutionID	institutionCode	collectionCode	ownerInstitutionCode	basisOfRecord	occurrenceID	catalogNumber	occurrenceRemarks	recordNumber	recordedBy	individualCount	occurrenceStatus	preparations	disposition	samplingProtocol	samplingEffort	eventDate	eventTime	year	month	day	habitat	eventRemarks	continent	country	countryCode	stateProvince	county	locality	verbatimElevation	minimumElevationInMeters	maximumElevationInMeters	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	decimalLatitude	decimalLongitude	geodeticDatum	identifiedBy	dateIdentified	identificationQualifier	scientificName	kingdom	phylum	class	order	family	genus	specificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName
UPTC:26:27356	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:27356	27356		D.A-Moreno 4030	D. A. Moreno | L. Cuta	1	Presente	Seco	En colección	Colecta general	8 Horas/ día	2018-12-04	8:00/16:00	2018	12	04	Páramo 2	Cortícola	SA	Colombia	CO	Boyacá	Cerinza	Vereda Meseta	2760	2760	2760	6°0'18.8''N | 72°58'25.9''W	6°0'18.8''N	72°58'25.9''W	Grados minutos segundos	WGS84	6.0052222	-72.9738611	WGS84	D. A. Moreno			Frullania standaertii	Plantae	Marchantiophyta	Jungermanniopsida	Porellales	Frullaniaceae	Frullania	standaertii	Especie		Steph.	Hepática
UPTC:26:27357	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:27357	27357		D.A-Moreno 4031	D. A. Moreno | L. Cuta	1	Presente	Seco	En colección	Colecta general	8 Horas/ día	2018-12-04	8:00/16:00	2018	12	04	Páramo 2	Cortícola	SA	Colombia	CO	Boyacá	Cerinza	Vereda Meseta	2760	2760	2760	6°0'18.8''N | 72°58'25.9''W	6°0'18.8''N	72°58'25.9''W	Grados minutos segundos	WGS84	6.0052222	-72.9738611	WGS84	D. A. Moreno			Neckera scabridens	Plantae	Bryophyta	Bryopsida	Hypnales	Neckeraceae	Neckera	scabridens	Especie		Müll.Hal.	Musgo
UPTC:26:27358	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:27358	27358		D.A-Moreno 4032	D. A. Moreno | L. Cuta	1	Presente	Seco	En colección	Colecta general	8 Horas/ día	2018-12-04	8:00/16:00	2018	12	04	Páramo 2	Cortícola	SA	Colombia	CO	Boyacá	Cerinza	Vereda Meseta	2760	2760	2760	6°0'18.8''N | 72°58'25.9''W	6°0'18.8''N	72°58'25.9''W	Grados minutos segundos	WGS84	6.0052222	-72.9738611	WGS84	D. A. Moreno			Thuidiaceae	Plantae	Bryophyta	Bryopsida	Hypnales	Thuidiaceae			Familia			Musgo
UPTC:26:27359	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:27359	27359		D.A-Moreno 4033	D. A. Moreno | L. Cuta	1	Presente	Seco	En colección	Colecta general	8 Horas/ día	2018-12-04	8:00/16:00	2018	12	04	Páramo 2	Cortícola	SA	Colombia	CO	Boyacá	Cerinza	Vereda Meseta	2760	2760	2760	6°0'18.8''N | 72°58'25.9''W	6°0'18.8''N	72°58'25.9''W	Grados minutos segundos	WGS84	6.0052222	-72.9738611	WGS84	D. A. Moreno			Isopterygium tenerifolium	Plantae	Bryophyta	Bryopsida	Hypnales	Pylaisiadelphaceae	Isopterygium	tenerifolium	Especie		Mitt.	Musgo
UPTC:26:27360	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:27360	27360		D.A-Moreno 4034	D. A. Moreno | L. Cuta	1	Presente	Seco	En colección	Colecta general	8 Horas/ día	2018-12-04	8:00/16:00	2018	12	04	Páramo 2	Cortícola	SA	Colombia	CO	Boyacá	Cerinza	Vereda Meseta	2760	2760	2760	6°0'18.8''N | 72°58'25.9''W	6°0'18.8''N	72°58'25.9''W	Grados minutos segundos	WGS84	6.0052222	-72.9738611	WGS84	D. A. Moreno			Pylaisia falcata	Plantae	Bryophyta	Bryopsida	Hypnales	Hypnaceae	Pylaisia	falcata	Especie		Schimp.	Musgo
UPTC:26:27361	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:27361	27361		D.A-Moreno 4035	D. A. Moreno | L. Cuta	1	Presente	Seco	En colección	Colecta general	8 Horas/ día	2018-12-04	8:00/16:00	2018	12	04	Páramo 2	Cortícola	SA	Colombia	CO	Boyacá	Cerinza	Vereda Meseta	2760	2760	2760	6°0'18.8''N | 72°58'25.9''W	6°0'18.8''N	72°58'25.9''W	Grados minutos segundos	WGS84	6.0052222	-72.9738611	WGS84	D. A. Moreno			Frullania riojaneirensis	Plantae	Marchantiophyta	Jungermanniopsida	Porellales	Frullaniaceae	Frullania	riojaneirensis	Especie		(Raddi.) Angstr	Hepática
UPTC:26:27362	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:27362	27362		D.A-Moreno 4036	D. A. Moreno | L. Cuta	1	Presente	Seco	En colección	Colecta general	8 Horas/ día	2018-12-04	8:00/16:00	2018	12	04	Páramo 2	Terrícola	SA	Colombia	CO	Boyacá	Cerinza	Vereda Meseta	2760	2760	2760	6°0'18.8''N | 72°58'25.9''W	6°0'18.8''N	72°58'25.9''W	Grados minutos segundos	WGS84	6.0052222	-72.9738611	WGS84	D. A. Moreno			Bryum andicola	Plantae	Bryophyta	Bryopsida	Bryales	Bryaceae	Bryum	andicola	Especie		Hook.	Musgo
UPTC:26:27363	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:27363	27363		D.A-Moreno 4037	D. A. Moreno | L. Cuta	1	Presente	Seco	En colección	Colecta general	8 Horas/ día	2018-12-04	8:00/16:00	2018	12	04	Páramo 2	Terrícola	SA	Colombia	CO	Boyacá	Cerinza	Vereda Meseta	2760	2760	2760	6°0'18.8''N | 72°58'25.9''W	6°0'18.8''N	72°58'25.9''W	Grados minutos segundos	WGS84	6.0052222	-72.9738611	WGS84	D. A. Moreno			Pottiaceae	Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae			Familia			Musgo
UPTC:26:27364	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:27364	27364		D.A-Moreno 4038	D. A. Moreno | L. Cuta	1	Presente	Seco	En colección	Colecta general	8 Horas/ día	2018-12-04	8:00/16:00	2018	12	04	Páramo 2	Cortícola	SA	Colombia	CO	Boyacá	Cerinza	Vereda Meseta	2760	2760	2760	6°0'18.8''N | 72°58'25.9''W	6°0'18.8''N	72°58'25.9''W	Grados minutos segundos	WGS84	6.0052222	-72.9738611	WGS84	D. A. Moreno			Campylopus	Plantae	Bryophyta	Bryopsida	Dicranales	Leucobryaceae	Campylopus		Género	sp.		Musgo
UPTC:26:27365	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:27365	27365		D.A-Moreno 4039	D. A. Moreno | L. Cuta	1	Presente	Seco	En colección	Colecta general	8 Horas/ día	2018-12-04	8:00/16:00	2018	12	04	Páramo 2	Saxícola	SA	Colombia	CO	Boyacá	Cerinza	Vereda Meseta	2760	2760	2760	6°0'18.8''N | 72°58'25.9''W	6°0'18.8''N	72°58'25.9''W	Grados minutos segundos	WGS84	6.0052222	-72.9738611	WGS84	D. A. Moreno			Barbula indica	Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae	Barbula	indica	Especie		(Hook.) Spreng	Musgo
