id	type	language	institutionID	institutionCode	collectionCode	ownerInstitutionCode	basisOfRecord	occurrenceID	catalogNumber	occurrenceRemarks	recordNumber	recordedBy	individualCount	occurrenceStatus	preparations	disposition	samplingProtocol	samplingEffort	eventDate	eventTime	year	month	day	habitat	eventRemarks	continent	country	countryCode	stateProvince	county	locality	verbatimElevation	minimumElevationInMeters	maximumElevationInMeters	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	decimalLatitude	decimalLongitude	geodeticDatum	identifiedBy	dateIdentified	identificationRemarks	identificationQualifier	scientificName	kingdom	phylum	class	order	family	genus	specificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName
UPTC:26:26635	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26635	26635		Cuta,L 1037	L. Cuta & D. A. Moreno	1	Presente	Seco	En colección	Colecta general	8 Horas/ dia	2018-10-10	8:00/16:00	2018	10	10	Arbustal	Cortícola	SA	Colombia	CO	Boyacá	Arcabuco	Vereda Rupavita	2916	2916	2916	5°44'41.7''N | 73°23'57.5''W	5°44'41.7''N	73°23'57.5''W	Grados minutos segundos	WGS84	5.7449167	-73.3993056	WGS84	D. A. Moreno				Squamidium livens	Plantae	Bryophyta	Bryopsida	Hypnales	Brachytheciaceae	Squamidium	livens	Especie		(Schwägr.) Broth.	Musgo
UPTC:26:26636	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26636	26636		Cuta,L 1038	L. Cuta & D. A. Moreno	1	Presente	Seco	En colección	Colecta general	8 Horas/ dia	2018-10-10	8:00/16:00	2018	10	10	Arbustal	Terrícola	SA	Colombia	CO	Boyacá	Arcabuco	Vereda Rupavita	2916	2916	2916	5°44'41.7''N | 73°23'57.5''W	5°44'41.7''N	73°23'57.5''W	Grados minutos segundos	WGS84	5.7449167	-73.3993056	WGS84	D. A. Moreno				Thuidium urceolatum	Plantae	Bryophyta	Bryopsida	Hypnales	Thuidiaceae	Thuidium	urceolatum	Especie		Lorentz	Musgo
UPTC:26:26637	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26637	26637		Cuta,L 1039	L. Cuta & D. A. Moreno	1	Presente	Seco	En colección	Colecta general	8 Horas/ dia	2018-10-10	8:00/16:00	2018	10	10	Arbustal	Terrícola	SA	Colombia	CO	Boyacá	Arcabuco	Vereda Rupavita	2916	2916	2916	5°44'41.7''N | 73°23'57.5''W	5°44'41.7''N	73°23'57.5''W	Grados minutos segundos	WGS84	5.7449167	-73.3993056	WGS84	D. A. Moreno			cf. andicola	Bryum andicola	Plantae	Bryophyta	Bryopsida	Bryales	Bryaceae	Bryum	andicola	Especie		Hook.	Musgo
UPTC:26:26638	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26638	26638		Cuta,L 1040	L. Cuta & D. A. Moreno	1	Presente	Seco	En colección	Colecta general	8 Horas/ dia	2018-10-10	8:00/16:00	2018	10	10	Arbustal	Terrícola	SA	Colombia	CO	Boyacá	Arcabuco	Vereda Rupavita	2916	2916	2916	5°44'41.7''N | 73°23'57.5''W	5°44'41.7''N	73°23'57.5''W	Grados minutos segundos	WGS84	5.7449167	-73.3993056	WGS84	D. A. Moreno				Leptodontium longicaule	Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae	Leptodontium	longicaule	Especie		Mitt.	Musgo
UPTC:26:26639	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26639	26639		Cuta,L 1041	L. Cuta & D. A. Moreno	1	Presente	Seco	En colección	Colecta general	8 Horas/ dia	2018-10-10	8:00/16:00	2018	10	10	Arbustal	Cortícola	SA	Colombia	CO	Boyacá	Arcabuco	Vereda Rupavita	2916	2916	2916	5°44'41.7''N | 73°23'57.5''W	5°44'41.7''N	73°23'57.5''W	Grados minutos segundos	WGS84	5.7449167	-73.3993056	WGS84	D. A. Moreno				Frullania lobatohastata	Plantae	Marchantiophyta	Jungermanniopsida	Porellales	Frullaniaceae	Frullania	lobatohastata	Especie		Steph.	Hepática
UPTC:26:26640	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26640	26640		Cuta,L 1042	L. Cuta & D. A. Moreno	1	Presente	Seco	En colección	Colecta general	8 Horas/ dia	2018-10-10	8:00/16:00	2018	10	10	Arbustal	Cortícola	SA	Colombia	CO	Boyacá	Arcabuco	Vereda Rupavita	2916	2916	2916	5°44'41.7''N | 73°23'57.5''W	5°44'41.7''N	73°23'57.5''W	Grados minutos segundos	WGS84	5.7449167	-73.3993056	WGS84	D. A. Moreno				Cheilolejeunea xanthocarpa	Plantae	Marchantiophyta	Jungermanniopsida	Porellales	Lejeuneaceae	Cheilolejeunea	xanthocarpa	Especie		(Lehm.& Lindenb.) Malombe	Hepática
UPTC:26:26641	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26641	26641		Cuta,L 1043	L. Cuta & D. A. Moreno	1	Presente	Seco	En colección	Colecta general	8 Horas/ dia	2018-10-10	8:00/16:00	2018	10	10	Arbustal	Cortícola	SA	Colombia	CO	Boyacá	Arcabuco	Vereda Rupavita	2916	2916	2916	5°44'41.7''N | 73°23'57.5''W	5°44'41.7''N	73°23'57.5''W	Grados minutos segundos	WGS84	5.7449167	-73.3993056	WGS84	D. A. Moreno				Brachiolejeunea laxifolia	Plantae	Marchantiophyta	Jungermanniopsida	Porellales	Lejeuneaceae	Brachiolejeunea	laxifolia	Especie		(Taylor.) Schiffn	Hepática
UPTC:26:26642	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26642	26642		Cuta,L 1044	L. Cuta & D. A. Moreno	1	Presente	Seco	En colección	Colecta general	8 Horas/ dia	2018-10-10	8:00/16:00	2018	10	10	Arbustal	Terrícola	SA	Colombia	CO	Boyacá	Arcabuco	Vereda Rupavita	2916	2916	2916	5°44'41.7''N | 73°23'57.5''W	5°44'41.7''N	73°23'57.5''W	Grados minutos segundos	WGS84	5.7449167	-73.3993056	WGS84	D. A. Moreno				Macromitrium	Plantae	Bryophyta	Bryopsida	Orthotrichales	Orthotrichaceae	Macromitrium		Género	sp.		Musgo
UPTC:26:26643	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26643	26643		Cuta,L 1045	L. Cuta & D. A. Moreno	1	Presente	Seco	En colección	Colecta general	8 Horas/ dia	2018-10-10	8:00/16:00	2018	10	10	Arbustal	Saxícola	SA	Colombia	CO	Boyacá	Arcabuco	Vereda Rupavita	2916	2916	2916	5°44'41.7''N | 73°23'57.5''W	5°44'41.7''N	73°23'57.5''W	Grados minutos segundos	WGS84	5.7449167	-73.3993056	WGS84	D. A. Moreno				Neurolejeunea breutelii	Plantae	Marchantiophyta	Jungermanniopsida	Porellales	Lejeuneaceae	Neurolejeunea	breutelii	Especie		(Gottsche) A. Evans	Hepática
UPTC:26:26644	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26644	26644		Cuta,L 1046	L. Cuta & D. A. Moreno	1	Presente	Seco	En colección	Colecta general	8 Horas/ dia	2018-10-10	8:00/16:00	2018	10	10	Arbustal	Madera en descomposición	SA	Colombia	CO	Boyacá	Arcabuco	Vereda Rupavita	2916	2916	2916	5°44'41.7''N | 73°23'57.5''W	5°44'41.7''N	73°23'57.5''W	Grados minutos segundos	WGS84	5.7449167	-73.3993056	WGS84	D. A. Moreno				Neckera scabridens	Plantae	Bryophyta	Bryopsida	Hypnales	Neckeraceae	Neckera	scabridens	Especie		Müll.Hal	Musgo
UPTC:26:26645	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26645	26645		Cuta,L 1047	L. Cuta & D. A. Moreno	1	Presente	Seco	En colección	Colecta general	8 Horas/ dia	2018-10-10	8:00/16:00	2018	10	10	Arbustal	Madera en descomposición	SA	Colombia	CO	Boyacá	Arcabuco	Vereda Rupavita	2916	2916	2916	5°44'41.7''N | 73°23'57.5''W	5°44'41.7''N	73°23'57.5''W	Grados minutos segundos	WGS84	5.7449167	-73.3993056	WGS84	D. A. Moreno				Erythrophyllopsis	Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae	Erythrophyllopsis		Género	sp.		Musgo
UPTC:26:26646	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26646	26646		Cuta,L 1048	L. Cuta & D. A. Moreno	1	Presente	Seco	En colección	Colecta general	8 Horas/ dia	2018-10-10	8:00/16:00	2018	10	10	Arbustal	Cortícola	SA	Colombia	CO	Boyacá	Arcabuco	Vereda Rupavita	2916	2916	2916	5°44'41.7''N | 73°23'57.5''W	5°44'41.7''N	73°23'57.5''W	Grados minutos segundos	WGS84	5.7449167	-73.3993056	WGS84	D. A. Moreno				Plagiochila bidens	Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Plagiochilaceae	Plagiochila	bidens	Especie		Gottsche	Hepática
UPTC:26:26647	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26647	26647		Cuta,L 1049	L. Cuta & D. A. Moreno	1	Presente	Seco	En colección	Colecta general	8 Horas/ dia	2018-10-10	8:00/16:00	2018	10	10	Arbustal	Saxícola	SA	Colombia	CO	Boyacá	Arcabuco	Vereda Rupavita	2916	2916	2916	5°44'41.7''N | 73°23'57.5''W	5°44'41.7''N	73°23'57.5''W	Grados minutos segundos	WGS84	5.7449167	-73.3993056	WGS84	D. A. Moreno			cf. aryrocaulon	Campylopus argyrocaulon	Plantae	Bryophyta	Bryopsida	Dicranales	Leucobryaceae	Campylopus	argyrocaulon	Especie		(Müll.Hal.) Broth.	Musgo
UPTC:26:26648	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26648	26648		Cuta,L 1050	L. Cuta & D. A. Moreno	1	Presente	Seco	En colección	Colecta general	8 Horas/ dia	2018-10-10	8:00/16:00	2018	10	10	Arbustal	Saxícola	SA	Colombia	CO	Boyacá	Arcabuco	Vereda Rupavita	2916	2916	2916	5°44'41.7''N | 73°23'57.5''W	5°44'41.7''N	73°23'57.5''W	Grados minutos segundos	WGS84	5.7449167	-73.3993056	WGS84	D. A. Moreno			cf. stricta	Plagiochila stricta	Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Plagiochilaceae	Plagiochila	stricta	Especie		(Sw.) Lindenb.	Hepática
UPTC:26:26649	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26649	26649		Cuta,L 1051	L. Cuta & D. A. Moreno	1	Presente	Seco	En colección	Colecta general	8 Horas/ dia	2018-10-10	8:00/16:00	2018	10	10	Arbustal	Terrícola	SA	Colombia	CO	Boyacá	Arcabuco	Vereda Rupavita	2916	2916	2916	5°44'41.7''N | 73°23'57.5''W	5°44'41.7''N	73°23'57.5''W	Grados minutos segundos	WGS84	5.7449167	-73.3993056	WGS84	D. A. Moreno				Campylium sommerfeltii	Plantae	Bryophyta	Bryopsida	Hypnales	Amblystegiaceae	Campylium	sommerfeltii	Especie		(Myrin) Hedenäs	Musgo
UPTC:26:26650	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26650	26650		Cuta,L 1052	L. Cuta & D. A. Moreno	1	Presente	Seco	En colección	Colecta general	8 Horas/ dia	2018-10-10	8:00/16:00	2018	10	10	Arbustal	Saxícola	SA	Colombia	CO	Boyacá	Arcabuco	Vereda Rupavita	2916	2916	2916	5°44'41.7''N | 73°23'57.5''W	5°44'41.7''N	73°23'57.5''W	Grados minutos segundos	WGS84	5.7449167	-73.3993056	WGS84	D. A. Moreno				Campylopus heterostachys	Plantae	Bryophyta	Bryopsida	Dicranales	Leucobryaceae	Campylopus	heterostachys	Especie		(Hampe) A. Jaeger	Musgo
UPTC:26:26651	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26651	26651		Cuta,L 1053	L. Cuta & D. A. Moreno	1	Presente	Seco	En colección	Colecta general	8 Horas/ dia	2018-10-10	8:00/16:00	2018	10	10	Arbustal	Terrícola	SA	Colombia	CO	Boyacá	Arcabuco	Vereda Rupavita	2916	2916	2916	5°44'41.7''N | 73°23'57.5''W	5°44'41.7''N	73°23'57.5''W	Grados minutos segundos	WGS84	5.7449167	-73.3993056	WGS84	D. A. Moreno				Campylopus heterostachys	Plantae	Bryophyta	Bryopsida	Dicranales	Leucobryaceae	Campylopus	heterostachys	Especie		(Hampe) A. Jaeger	Musgo
UPTC:26:26652	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26652	26652		Cuta,L 1054	L. Cuta & D. A. Moreno	1	Presente	Seco	En colección	Colecta general	8 Horas/ dia	2018-10-10	8:00/16:00	2018	10	10	Arbustal	Terrícola	SA	Colombia	CO	Boyacá	Arcabuco	Vereda Rupavita	2916	2916	2916	5°44'41.7''N | 73°23'57.5''W	5°44'41.7''N	73°23'57.5''W	Grados minutos segundos	WGS84	5.7449167	-73.3993056	WGS84	D. A. Moreno				Campylopus sharpii	Plantae	Bryophyta	Bryopsida	Dicranales	Leucobryaceae	Campylopus	sharpii	Especie		J.P- Frahm et. Al.	Musgo
UPTC:26:26653	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26653	26653		Cuta,L 1055	L. Cuta & D. A. Moreno	1	Presente	Seco	En colección	Colecta general	8 Horas/ dia	2018-10-10	8:00/16:00	2018	10	10	Arbustal	Saxícola	SA	Colombia	CO	Boyacá	Arcabuco	Vereda Rupavita	2916	2916	2916	5°44'41.7''N | 73°23'57.5''W	5°44'41.7''N	73°23'57.5''W	Grados minutos segundos	WGS84	5.7449167	-73.3993056	WGS84	D. A. Moreno				Bryum andicola	Plantae	Bryophyta	Bryopsida	Bryales	Bryaceae	Bryum	andicola	Especie		Hook.	Musgo
UPTC:26:26654	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26654	26654		Cuta,L 1056	L. Cuta & D. A. Moreno	1	Presente	Seco	En colección	Colecta general	8 Horas/ dia	2018-10-10	8:00/16:00	2018	10	10	Arbustal	Cortícola	SA	Colombia	CO	Boyacá	Arcabuco	Vereda Rupavita	2916	2916	2916	5°44'41.7''N | 73°23'57.5''W	5°44'41.7''N	73°23'57.5''W	Grados minutos segundos	WGS84	5.7449167	-73.3993056	WGS84	D. A. Moreno				Neurolejeunea breutelii	Plantae	Marchantiophyta	Jungermanniopsida	Porellales	Lejeuneaceae	Neurolejeunea	breutelii	Especie		(Gottsche) A. Evans	Hepática
