id;type;language;institutionID;institutionCode;collectionCode;ownerInstitutionCode;basisOfRecord;occurrenceID;catalogNumber;occurrenceRemarks;recordNumber;recordedBy;individualCount;occurrenceStatus;preparations;disposition;samplingProtocol;samplingEffort;eventDate;eventTime;year;month;day;habitat;eventRemarks;continent;country;countryCode;stateProvince;county;locality;verbatimElevation;minimumElevationInMeters;maximumElevationInMeters;verbatimCoordinates;verbatimLatitude;verbatimLongitude;verbatimCoordinateSystem;verbatimSRS;decimalLatitude;decimalLongitude;geodeticDatum;georeferenceVerificationStatus;identifiedBy;dateIdentified;identificationQualifier;scientificName;kingdom;phylum;class;order;family;genus;specificEpithet;taxonRank;verbatimTaxonRank;scientificNameAuthorship;vernacularName
UPTC:26:26401;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:26401;26401;;JSG 001;J. Gualteros | D. A. Moreno;1;Presente;Seco;En colección;Colecta general;8 Horas/ dia;4/05/2018;8:00/16:00;2018;5;4;Páramo;Terrícola;SA;Colombia;CO;Boyacá;Ráquira;Vereda Firita Peña Arriba;3411;3411;3411;5°24'59.3''N | 73°36'3.6''W;5°24'59.3''N;73°36'3.6''W;Grados minutos segundos;WGS84;;;WGS84;Por verificar;D. A. Moreno;;;Sphagnum;Plantae;Bryophyta;Sphagnopsida;Sphagnales;Sphagnaceae;Sphagnum;;Género;sp.;;Musgo
UPTC:26:26402;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:26402;26402;;JSG 002;J. Gualteros | D. A. Moreno;1;Presente;Seco;En colección;Colecta general;8 Horas/ dia;4/05/2018;8:00/16:00;2018;5;4;Páramo;Terrícola;SA;Colombia;CO;Boyacá;Ráquira;Vereda Firita Peña Arriba;3411;3411;3411;5°24'59.3''N | 73°36'3.6''W;5°24'59.3''N;73°36'3.6''W;Grados minutos segundos;WGS84;;;WGS84;Por verificar;D. A. Moreno;;;Sphagnum;Plantae;Bryophyta;Sphagnopsida;Sphagnales;Sphagnaceae;Sphagnum;;Género;sp.;;Musgo
UPTC:26:26403;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:26403;26403;;JSG 003;J. Gualteros | D. A. Moreno;1;Presente;Seco;En colección;Colecta general;8 Horas/ dia;4/05/2018;8:00/16:00;2018;5;4;Páramo;Terrícola;SA;Colombia;CO;Boyacá;Ráquira;Vereda Firita Peña Arriba;3411;3411;3411;5°24'59.3''N | 73°36'3.6''W;5°24'59.3''N;73°36'3.6''W;Grados minutos segundos;WGS84;;;WGS84;Por verificar;D. A. Moreno;;;Breutelia chrysea;Plantae;Bryophyta;Bryopsida;Bartramiales;Bartramiaceae;Breutelia;chrysea;Especie;;(Müll.Hal.) A. Jaeger;Musgo
UPTC:26:26404;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:26404;26404;;JSG 004;J. Gualteros | D. A. Moreno;1;Presente;Seco;En colección;Colecta general;8 Horas/ dia;4/05/2018;8:00/16:00;2018;5;4;Páramo;Terrícola;SA;Colombia;CO;Boyacá;Ráquira;Vereda Firita Peña Arriba;3411;3411;3411;5°24'59.3''N | 73°36'3.6''W;5°24'59.3''N;73°36'3.6''W;Grados minutos segundos;WGS84;;;WGS84;Por verificar;D. A. Moreno;;;Polytrichum juniperinum;Plantae;Bryophyta;Polytrichopsida;Polytrichales;Polytrichaceae;Polytrichum;juniperinum;Especie;;Hedw.;Musgo
UPTC:26:26405;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:26405;26405;;JSG 005;J. Gualteros | D. A. Moreno;1;Presente;Seco;En colección;Colecta general;8 Horas/ dia;4/05/2018;8:00/16:00;2018;5;4;Páramo;Madera en descomposición;SA;Colombia;CO;Boyacá;Ráquira;Vereda Firita Peña Arriba;3411;3411;3411;5°24'59.3''N | 73°36'3.6''W;5°24'59.3''N;73°36'3.6''W;Grados minutos segundos;WGS84;;;WGS84;Por verificar;D. A. Moreno;;;Leptodontium luteum;Plantae;Bryophyta;Bryopsida;Pottiales;Pottiaceae;Leptodontium;luteum;Especie;;(Taylor) Mitt.;Musgo
UPTC:26:26406;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:26406;26406;;JSG 006;J. Gualteros | D. A. Moreno;1;Presente;Seco;En colección;Colecta general;8 Horas/ dia;4/05/2018;8:00/16:00;2018;5;4;Páramo;Terrícola;SA;Colombia;CO;Boyacá;Ráquira;Vereda Firita Peña Arriba;3411;3411;3411;5°24'59.3''N | 73°36'3.6''W;5°24'59.3''N;73°36'3.6''W;Grados minutos segundos;WGS84;;;WGS84;Por verificar;D. A. Moreno;;;Campylopus fragilis;Plantae;Bryophyta;Bryopsida;Dicranales;Leucobryaceae;Campylopus;fragilis;Especie;;(Brid.) Bruch & Schimp;Musgo
UPTC:26:26407;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:26407;26407;;JSG 007;J. Gualteros | D. A. Moreno;1;Presente;Seco;En colección;Colecta general;8 Horas/ dia;4/05/2018;8:00/16:00;2018;5;4;Páramo;Terrícola;SA;Colombia;CO;Boyacá;Ráquira;Vereda Firita Peña Arriba;3411;3411;3411;5°24'59.3''N | 73°36'3.6''W;5°24'59.3''N;73°36'3.6''W;Grados minutos segundos;WGS84;;;WGS84;Por verificar;D. A. Moreno;;;Brachiolejeunea laxifolia;Plantae;Marchantiophyta;Jungermanniopsida;Porellales;Lejeuneaceae;Brachiolejeunea;laxifolia;Especie;;(Taylor.) Schiffn;Hepática
UPTC:26:26408;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:26408;26408;;JSG 008;J. Gualteros | D. A. Moreno;1;Presente;Seco;En colección;Colecta general;8 Horas/ dia;4/05/2018;8:00/16:00;2018;5;4;Páramo;Terrícola;SA;Colombia;CO;Boyacá;Ráquira;Vereda Firita Peña Arriba;3411;3411;3411;5°24'59.3''N | 73°36'3.6''W;5°24'59.3''N;73°36'3.6''W;Grados minutos segundos;WGS84;;;WGS84;Por verificar;D. A. Moreno;;;Campylopus nivalis;Plantae;Bryophyta;Bryopsida;Dicranales;Leucobryaceae;Campylopus;nivalis;Especie;;(Brid.) Brid.;Musgo
UPTC:26:26409;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:26409;26409;;JSG 009;J. Gualteros | D. A. Moreno;1;Presente;Seco;En colección;Colecta general;8 Horas/ dia;4/05/2018;8:00/16:00;2018;5;4;Páramo;Terrícola;SA;Colombia;CO;Boyacá;Ráquira;Vereda Firita Peña Arriba;3411;3411;3411;5°24'59.3''N | 73°36'3.6''W;5°24'59.3''N;73°36'3.6''W;Grados minutos segundos;WGS84;;;WGS84;Por verificar;D. A. Moreno;;;Sphagnum;Plantae;Bryophyta;Sphagnopsida;Sphagnales;Sphagnaceae;Sphagnum;;Género;sp.;;Musgo
UPTC:26:26410;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:26410;26410;;JSG 010;J. Gualteros | D. A. Moreno;1;Presente;Seco;En colección;Colecta general;8 Horas/ dia;4/05/2018;8:00/16:00;2018;5;4;Páramo;Madera en descomposición;SA;Colombia;CO;Boyacá;Ráquira;Vereda Firita Peña Arriba;3411;3411;3411;5°24'59.3''N | 73°36'3.6''W;5°24'59.3''N;73°36'3.6''W;Grados minutos segundos;WGS84;;;WGS84;Por verificar;D. A. Moreno;;;Riccardia parasitans;Plantae;Marchantiophyta;Jungermanniopsida;Metzgeriales;Aneuraceae;Riccardia;parasitans;Especie;;(Steph.) Meenks & C De jong;Hepática
