id	type	language	institutionID	institutionCode	collectionCode	ownerInstitutionCode	basisOfRecord	occurrenceID	catalogNumber	occurrenceRemarks	recordNumber	recordedBy	individualCount	occurrenceStatus	preparations	disposition	otherCatalogNumbers	samplingProtocol	samplingEffort	eventDate	eventTime	year	month	day	habitat	eventRemarks	continent	country	countryCode	stateProvince	county	locality	verbatimLocality	verbatimElevation	minimumElevationInMeters	maximumElevationInMeters	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	decimalLatitude	decimalLongitude	geodeticDatum	georeferenceVerificationStatus	identifiedBy	dateIdentified	identificationQualifier	scientificName	kingdom	phylum	class	order	family	genus	specificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName
UPTC:26:27656	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:27656	27656		D.A-Moreno 4330	D. A. Moreno | N. T. Manrique	1	Presente	Seco	En colección		Colecta general	8 Horas/ día	2019-02-24	8:00/16:00	2019	02	24	Arbustal	Saxícola	SA	Colombia	CO	Boyacá	Mongua	Vereda El Carmen		3480	3480	3480	5°41'54.8''N | 72°47'18.4''W	5°41'54.8''N	72°47'18.4''W	Grados minutos segundos	WGS84	5.6985556	-72.7884444	WGS84		D. A. Moreno			Pottiaceae	Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae			Familia			Musgo
UPTC:26:27657	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:27657	27657		D.A-Moreno 4331	D. A. Moreno | N. T. Manrique	1	Presente	Seco	En colección		Colecta general	8 Horas/ día	2019-02-24	8:00/16:00	2019	02	24	Arbustal	Saxícola	SA	Colombia	CO	Boyacá	Mongua	Vereda El Carmen		3480	3480	3480	5°41'54.8''N | 72°47'18.4''W	5°41'54.8''N	72°47'18.4''W	Grados minutos segundos	WGS84	5.6985556	-72.7884444	WGS84		D. A. Moreno			Anastrophyllum auritum	Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Scapaniaceae	Anastrophyllum	auritum	Especie		(Lehm.) Steph.	Hepática
UPTC:26:27658	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:27658	27658		D.A-Moreno 4332	D. A. Moreno | N. T. Manrique	1	Presente	Seco	En colección		Colecta general	8 Horas/ día	2019-02-24	8:00/16:00	2019	02	24	Arbustal	Terrícola	SA	Colombia	CO	Boyacá	Mongua	Vereda El Carmen		3480	3480	3480	5°41'54.8''N | 72°47'18.4''W	5°41'54.8''N	72°47'18.4''W	Grados minutos segundos	WGS84	5.6985556	-72.7884444	WGS84		D. A. Moreno			Plagiochila	Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Plagiochilaceae	Plagiochila		Género	sp.		Hepática
UPTC:26:27659	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:27659	27659		D.A-Moreno 4333	D. A. Moreno | N. T. Manrique	1	Presente	Seco	En colección		Colecta general	8 Horas/ día	2019-02-24	8:00/16:00	2019	02	24	Arbustal	Terrícola	SA	Colombia	CO	Boyacá	Mongua	Vereda El Carmen		3480	3480	3480	5°41'54.8''N | 72°47'18.4''W	5°41'54.8''N	72°47'18.4''W	Grados minutos segundos	WGS84	5.6985556	-72.7884444	WGS84		D. A. Moreno			Campylopus	Plantae	Bryophyta	Bryopsida	Dicranales	Leucobryaceae	Campylopus		Género	sp.		Musgo
UPTC:26:27660	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:27660	27660		D.A-Moreno 4334	D. A. Moreno | N. T. Manrique	1	Presente	Seco	En colección		Colecta general	8 Horas/ día	2019-02-24	8:00/16:00	2019	02	24	Arbustal	Cortícola	SA	Colombia	CO	Boyacá	Mongua	Vereda El Carmen		3480	3480	3480	5°41'54.8''N | 72°47'18.4''W	5°41'54.8''N	72°47'18.4''W	Grados minutos segundos	WGS84	5.6985556	-72.7884444	WGS84		D. A. Moreno			Herbertus acanthelius	Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Herbertaceae	Herbertus	acanthelius	Especie		Spruce	Hepática
UPTC:26:27661	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:27661	27661		D.A-Moreno 4335	D. A. Moreno | N. T. Manrique	1	Presente	Seco	En colección		Colecta general	8 Horas/ día	2019-02-24	8:00/16:00	2019	02	24	Arbustal	Cortícola	SA	Colombia	CO	Boyacá	Mongua	Vereda El Carmen		3480	3480	3480	5°41'54.8''N | 72°47'18.4''W	5°41'54.8''N	72°47'18.4''W	Grados minutos segundos	WGS84	5.6985556	-72.7884444	WGS84		D. A. Moreno			Lepidopilum longifolium	Plantae	Bryophyta	Bryopsida	Hookeriales	Pilotrichaceae	Lepidopilum	longifolium	Especie		Hampe.	Musgo
UPTC:26:27662	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:27662	27662		D.A-Moreno 4336	D. A. Moreno | N. T. Manrique	1	Presente	Seco	En colección		Colecta general	8 Horas/ día	2019-02-24	8:00/16:00	2019	02	24	Arbustal	Cortícola	SA	Colombia	CO	Boyacá	Mongua	Vereda El Carmen		3480	3480	3480	5°41'54.8''N | 72°47'18.4''W	5°41'54.8''N	72°47'18.4''W	Grados minutos segundos	WGS84	5.6985556	-72.7884444	WGS84		D. A. Moreno			Plagiochila	Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Plagiochilaceae	Plagiochila		Género	sp.		Hepática
UPTC:26:27663	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:27663	27663		D.A-Moreno 4337	D. A. Moreno | N. T. Manrique	1	Presente	Seco	En colección		Colecta general	8 Horas/ día	2019-02-24	8:00/16:00	2019	02	24	Arbustal	Saxícola	SA	Colombia	CO	Boyacá	Mongua	Vereda El Carmen		3480	3480	3480	5°41'54.8''N | 72°47'18.4''W	5°41'54.8''N	72°47'18.4''W	Grados minutos segundos	WGS84	5.6985556	-72.7884444	WGS84		D. A. Moreno			Thuidium peruvianum	Plantae	Bryophyta	Bryopsida	Hypnales	Thuidiaceae	Thuidium	peruvianum	Especie		Mitt.	Musgo
UPTC:26:27664	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:27664	27664		D.A-Moreno 4338	D. A. Moreno | N. T. Manrique	1	Presente	Seco	En colección		Colecta general	8 Horas/ día	2019-02-24	8:00/16:00	2019	02	24	Arbustal	Cortícola	SA	Colombia	CO	Boyacá	Mongua	Vereda El Carmen		3480	3480	3480	5°41'54.8''N | 72°47'18.4''W	5°41'54.8''N	72°47'18.4''W	Grados minutos segundos	WGS84	5.6985556	-72.7884444	WGS84		D. A. Moreno			Phyllogonium fulgens	Plantae	Bryophyta	Bryopsida	Hypnales	Phyllogoniaceae	Phyllogonium	fulgens	Especie		(Hedw.) Brid.	Musgo
UPTC:26:27665	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:27665	27665		D.A-Moreno 4339	D. A. Moreno | N. T. Manrique	1	Presente	Seco	En colección		Colecta general	8 Horas/ día	2019-02-24	8:00/16:00	2019	02	24	Arbustal	Terrícola	SA	Colombia	CO	Boyacá	Mongua	Vereda El Carmen		3480	3480	3480	5°41'54.8''N | 72°47'18.4''W	5°41'54.8''N	72°47'18.4''W	Grados minutos segundos	WGS84	5.6985556	-72.7884444	WGS84		D. A. Moreno			Dicranaceae	Plantae	Bryophyta	Bryopsida	Dicranales	Dicranaceae			Familia			Musgo
