id	type	language	institutionID	institutionCode	collectionCode	ownerInstitutionCode	basisOfRecord	occurrenceID	catalogNumber	occurrenceRemarks	recordNumber	recordedBy	individualCount	occurrenceStatus	preparations	disposition	samplingProtocol	samplingEffort	eventDate	eventTime	year	month	day	habitat	eventRemarks	continent	country	countryCode	stateProvince	county	locality	verbatimLocality	verbatimElevation	minimumElevationInMeters	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	decimalLatitude	decimalLongitude	geodeticDatum	georeferenceVerificationStatus	identifiedBy	dateIdentified	identificationQualifier	scientificName	kingdom	phylum	class	order	family	genus	specificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName
UPTC:26:28832	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28832	28832		D.A-Moreno 5044	D. A. Moreno | M. R. Escobar	1	Presente	Seco	En colección	Colecta general	8 Horas/ día	2019-07-29	8:00/16:00	2019	07	29	Bosque húmedo tropical	Terrícola	SA	Colombia	CO	Boyacá	Otanche	Reserva Forestal Las Quinchas, quebrada Los Mártires		1178	1178	5°48'20.4''N | 74°15'20.7''W	5°48'20.4''N	74°15'20.7''W	Grados minutos segundos	WGS84	5.8056667	-74.25575	WGS84		D. A. Moreno			Cephaloziaceae	Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Cephaloziaceae			Familia			Hepática
UPTC:26:28833	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28833	28833		D.A-Moreno 5045	D. A. Moreno | M. R. Escobar	1	Presente	Seco	En colección	Colecta general	8 Horas/ día	2019-07-29	8:00/16:00	2019	07	29	Bosque húmedo tropical	Cortícola	SA	Colombia	CO	Boyacá	Otanche	Reserva Forestal Las Quinchas, quebrada Los Mártires		1178	1178	5°48'20.4''N | 74°15'20.7''W	5°48'20.4''N	74°15'20.7''W	Grados minutos segundos	WGS84	5.8056667	-74.25575	WGS84		D. A. Moreno			Lejeuneaceae	Plantae	Marchantiophyta	Jungermanniopsida	Porellales	Lejeuneaceae			Familia			Hepática
UPTC:26:28834	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28834	28834		D.A-Moreno 5046	D. A. Moreno | M. R. Escobar	1	Presente	Seco	En colección	Colecta general	8 Horas/ día	2019-07-29	8:00/16:00	2019	07	29	Bosque húmedo tropical	Madera en descomposición	SA	Colombia	CO	Boyacá	Otanche	Reserva Forestal Las Quinchas, quebrada Los Mártires		1178	1178	5°48'20.4''N | 74°15'20.7''W	5°48'20.4''N	74°15'20.7''W	Grados minutos segundos	WGS84	5.8056667	-74.25575	WGS84		D. A. Moreno			Lejeuneaceae	Plantae	Marchantiophyta	Jungermanniopsida	Porellales	Lejeuneaceae			Familia			Hepática
UPTC:26:28835	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28835	28835		D.A-Moreno 5047	D. A. Moreno | M. R. Escobar	1	Presente	Seco	En colección	Colecta general	8 Horas/ día	2019-07-29	8:00/16:00	2019	07	29	Bosque húmedo tropical	Madera en descomposición	SA	Colombia	CO	Boyacá	Otanche	Reserva Forestal Las Quinchas, quebrada Los Mártires		1178	1178	5°48'20.4''N | 74°15'20.7''W	5°48'20.4''N	74°15'20.7''W	Grados minutos segundos	WGS84	5.8056667	-74.25575	WGS84		D. A. Moreno			Plagiochila	Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Plagiochilaceae	Plagiochila		Género	sp.		Hepática
UPTC:26:28836	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28836	28836		D.A-Moreno 5048	D. A. Moreno | M. R. Escobar	1	Presente	Seco	En colección	Colecta general	8 Horas/ día	2019-07-29	8:00/16:00	2019	07	29	Bosque húmedo tropical	Terrícola	SA	Colombia	CO	Boyacá	Otanche	Reserva Forestal Las Quinchas, quebrada Los Mártires		1178	1178	5°48'20.4''N | 74°15'20.7''W	5°48'20.4''N	74°15'20.7''W	Grados minutos segundos	WGS84	5.8056667	-74.25575	WGS84		D. A. Moreno			Leucobryaceae	Plantae	Bryophyta	Bryopsida	Dicranales	Leucobryaceae			Familia			Musgo
UPTC:26:28837	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28837	28837		D.A-Moreno 5049	D. A. Moreno | M. R. Escobar	1	Presente	Seco	En colección	Colecta general	8 Horas/ día	2019-07-29	8:00/16:00	2019	07	29	Bosque húmedo tropical	Terrícola	SA	Colombia	CO	Boyacá	Otanche	Reserva Forestal Las Quinchas, quebrada Los Mártires		1178	1178	5°48'20.4''N | 74°15'20.7''W	5°48'20.4''N	74°15'20.7''W	Grados minutos segundos	WGS84	5.8056667	-74.25575	WGS84		D. A. Moreno			Riccardia	Plantae	Marchantiophyta	Jungermanniopsida	Metzgeriales	Aneuraceae	Riccardia		Género	sp.		Hepática
UPTC:26:28838	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28838	28838		D.A-Moreno 5050	D. A. Moreno | M. R. Escobar	1	Presente	Seco	En colección	Colecta general	8 Horas/ día	2019-07-29	8:00/16:00	2019	07	29	Bosque húmedo tropical	Terrícola	SA	Colombia	CO	Boyacá	Otanche	Reserva Forestal Las Quinchas, quebrada Los Mártires		1178	1178	5°48'20.4''N | 74°15'20.7''W	5°48'20.4''N	74°15'20.7''W	Grados minutos segundos	WGS84	5.8056667	-74.25575	WGS84		D. A. Moreno			Neckeraceae	Plantae	Bryophyta	Bryopsida	Hypnales	Neckeraceae			Familia			Musgo
UPTC:26:28839	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28839	28839		D.A-Moreno 5051	D. A. Moreno | M. R. Escobar	1	Presente	Seco	En colección	Colecta general	8 Horas/ día	2019-07-29	8:00/16:00	2019	07	29	Bosque húmedo tropical	Cortícola	SA	Colombia	CO	Boyacá	Otanche	Reserva Forestal Las Quinchas, quebrada Los Mártires		1178	1178	5°48'20.4''N | 74°15'20.7''W	5°48'20.4''N	74°15'20.7''W	Grados minutos segundos	WGS84	5.8056667	-74.25575	WGS84		D. A. Moreno			Lejeuneaceae	Plantae	Marchantiophyta	Jungermanniopsida	Porellales	Lejeuneaceae			Familia			Hepática
UPTC:26:28840	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28840	28840		D.A-Moreno 5052	D. A. Moreno | M. R. Escobar	1	Presente	Seco	En colección	Colecta general	8 Horas/ día	2019-07-29	8:00/16:00	2019	07	29	Bosque húmedo tropical	Cortícola	SA	Colombia	CO	Boyacá	Otanche	Reserva Forestal Las Quinchas, quebrada Los Mártires		1178	1178	5°48'20.4''N | 74°15'20.7''W	5°48'20.4''N	74°15'20.7''W	Grados minutos segundos	WGS84	5.8056667	-74.25575	WGS84		D. A. Moreno			Campylopus	Plantae	Bryophyta	Bryopsida	Dicranales	Leucobryaceae	Campylopus		Género	sp.		Musgo
UPTC:26:28841	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28841	28841		D.A-Moreno 5053	D. A. Moreno | M. R. Escobar	1	Presente	Seco	En colección	Colecta general	8 Horas/ día	2019-07-29	8:00/16:00	2019	07	29	Bosque húmedo tropical	Cortícola	SA	Colombia	CO	Boyacá	Otanche	Reserva Forestal Las Quinchas, quebrada Los Mártires		1178	1178	5°48'20.4''N | 74°15'20.7''W	5°48'20.4''N	74°15'20.7''W	Grados minutos segundos	WGS84	5.8056667	-74.25575	WGS84		D. A. Moreno			Lejeuneaceae	Plantae	Marchantiophyta	Jungermanniopsida	Porellales	Lejeuneaceae			Familia			Hepática
