id,type,language,institutionID,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,occurrenceRemarks,recordNumber,recordedBy,individualCount,occurrenceStatus,preparations,disposition,otherCatalogNumbers,samplingProtocol,samplingEffort,eventDate,eventTime,year,month,day,habitat,eventRemarks,continent,country,countryCode,stateProvince,county,locality,verbatimElevation,minimumElevationInMeters,maximumElevationInMeters,verbatimCoordinates,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,decimalLatitude,decimalLongitude,geodeticDatum,identifiedBy,dateIdentified,identificationQualifier,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,identificationRemarks,georeferenceVerificationStatus,verbatimLocality,sampleSizeValue
UPTC:26:27139,Evento,es,891.800.330-1,Universidad Pedagógica y Tecnológica de Colombia (UPTC),Herbario UPTC,UPTC,HumanObservation,UPTC:26:27139,27139,Nan,D.A-Moreno 3813,D. A. Moreno | N. T. Manrique,1,Presente,Seco,En colección,1.0,Colecta general,8 Horas/ dia,1/08/2018,8:00/16:00,2018,8,1,Bosque,Madera en descomposición,SA,Colombia,CO,Boyacá,Ciénega,Vereda Albañil,3148.0,3148.0,3148.0,5°23'31.6''N | 73°14'38.2''W,5°23'31.6''N,73°14'38.2''W,Grados minutos segundos,WGS84,53998611.0,-732691389.0,WGS84,D. A. Moreno,0,0,Bazzania hookeri,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Lepidoziaceae,Bazzania,hookeri,Especie,Nan,(Lindenb.) Trevis,Hepática,,,,
UPTC:26:27140,Evento,es,891.800.330-1,Universidad Pedagógica y Tecnológica de Colombia (UPTC),Herbario UPTC,UPTC,HumanObservation,UPTC:26:27140,27140,Nan,D.A-Moreno 3814,D. A. Moreno | N. T. Manrique,1,Presente,Seco,En colección,2.0,Colecta general,8 Horas/ dia,1/08/2018,8:00/16:00,2018,8,1,Bosque,Cortícola,SA,Colombia,CO,Boyacá,Ciénega,Vereda Albañil,3148.0,3148.0,3148.0,5°23'31.6''N | 73°14'38.2''W,5°23'31.6''N,73°14'38.2''W,Grados minutos segundos,WGS84,53998611.0,-732691389.0,WGS84,D. A. Moreno,0,0,Herbertus juniperoideus,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Herbertaceae,Herbertus,juniperoideus,Especie,Nan,(Sw.) Grolle,Hepática,,,,
UPTC:26:27141,Evento,es,891.800.330-1,Universidad Pedagógica y Tecnológica de Colombia (UPTC),Herbario UPTC,UPTC,HumanObservation,UPTC:26:27141,27141,Nan,D.A-Moreno 3815,D. A. Moreno | N. T. Manrique,1,Presente,Seco,En colección,3.0,Colecta general,8 Horas/ dia,1/08/2018,8:00/16:00,2018,8,1,Bosque,Terrícola,SA,Colombia,CO,Boyacá,Ciénega,Vereda Albañil,3148.0,3148.0,3148.0,5°23'31.6''N | 73°14'38.2''W,5°23'31.6''N,73°14'38.2''W,Grados minutos segundos,WGS84,53998611.0,-732691389.0,WGS84,D. A. Moreno,0,aff. autumnalis,Syzygiella autumnalis,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Jamesoniellaceae,Syzygiella,autumnalis,Especie,Nan,(DC.) K. Feldberg et al.,Hepática,,,,
UPTC:26:27142,Evento,es,891.800.330-1,Universidad Pedagógica y Tecnológica de Colombia (UPTC),Herbario UPTC,UPTC,HumanObservation,UPTC:26:27142,27142,Nan,D.A-Moreno 3816,D. A. Moreno | N. T. Manrique,1,Presente,Seco,En colección,4.0,Colecta general,8 Horas/ dia,1/08/2018,8:00/16:00,2018,8,1,Bosque,Terrícola,SA,Colombia,CO,Boyacá,Ciénega,Vereda Albañil,3148.0,3148.0,3148.0,5°23'31.6''N | 73°14'38.2''W,5°23'31.6''N,73°14'38.2''W,Grados minutos segundos,WGS84,53998611.0,-732691389.0,WGS84,D. A. Moreno,0,0,Bazzania affinis,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Lepidoziaceae,Bazzania,affinis,Especie,Nan,(Lindenb & Gottsche.) Trevis,Hepática,,,,
UPTC:26:27143,Evento,es,891.800.330-1,Universidad Pedagógica y Tecnológica de Colombia (UPTC),Herbario UPTC,UPTC,HumanObservation,UPTC:26:27143,27143,Nan,D.A-Moreno 3817,D. A. Moreno | N. T. Manrique,1,Presente,Seco,En colección,5.0,Colecta general,8 Horas/ dia,1/08/2018,8:00/16:00,2018,8,1,Bosque,Cortícola,SA,Colombia,CO,Boyacá,Ciénega,Vereda Albañil,3148.0,3148.0,3148.0,5°23'31.6''N | 73°14'38.2''W,5°23'31.6''N,73°14'38.2''W,Grados minutos segundos,WGS84,53998611.0,-732691389.0,WGS84,D. A. Moreno,0,0,Plagiochila tenuis,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Plagiochilaceae,Plagiochila,tenuis,Especie,Nan,Lindenb.,Hepática,,,,
UPTC:26:27144,Evento,es,891.800.330-1,Universidad Pedagógica y Tecnológica de Colombia (UPTC),Herbario UPTC,UPTC,HumanObservation,UPTC:26:27144,27144,Nan,D.A-Moreno 3818,D. A. Moreno | N. T. Manrique,1,Presente,Seco,En colección,6.0,Colecta general,8 Horas/ dia,1/08/2018,8:00/16:00,2018,8,1,Bosque,Cortícola,SA,Colombia,CO,Boyacá,Ciénega,Vereda Albañil,3148.0,3148.0,3148.0,5°23'31.6''N | 73°14'38.2''W,5°23'31.6''N,73°14'38.2''W,Grados minutos segundos,WGS84,53998611.0,-732691389.0,WGS84,D. A. Moreno,0,0,Frullania grandifolia,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Frullaniaceae,Frullania,grandifolia,Especie,Nan,Steph.,Hepática,,,,
UPTC:26:27145,Evento,es,891.800.330-1,Universidad Pedagógica y Tecnológica de Colombia (UPTC),Herbario UPTC,UPTC,HumanObservation,UPTC:26:27145,27145,Nan,D.A-Moreno 3819,D. A. Moreno | N. T. Manrique,1,Presente,Seco,En colección,7.0,Colecta general,8 Horas/ dia,1/08/2018,8:00/16:00,2018,8,1,Bosque,Terrícola,SA,Colombia,CO,Boyacá,Ciénega,Vereda Albañil,3148.0,3148.0,3148.0,5°23'31.6''N | 73°14'38.2''W,5°23'31.6''N,73°14'38.2''W,Grados minutos segundos,WGS84,53998611.0,-732691389.0,WGS84,D. A. Moreno,0,0,Pleurozium schreberi,Plantae,Bryophyta,Bryopsida,Hypnales,Hylocomiaceae,Pleurozium,schreberi,Especie,Nan,(Brid.) Mitt.,Musgo,,,,
UPTC:26:27146,Evento,es,891.800.330-1,Universidad Pedagógica y Tecnológica de Colombia (UPTC),Herbario UPTC,UPTC,HumanObservation,UPTC:26:27146,27146,Nan,D.A-Moreno 3820,D. A. Moreno | N. T. Manrique,1,Presente,Seco,En colección,8.0,Colecta general,8 Horas/ dia,1/08/2018,8:00/16:00,2018,8,1,Bosque,Cortícola,SA,Colombia,CO,Boyacá,Ciénega,Vereda Albañil,3148.0,3148.0,3148.0,5°23'31.6''N | 73°14'38.2''W,5°23'31.6''N,73°14'38.2''W,Grados minutos segundos,WGS84,53998611.0,-732691389.0,WGS84,D. A. Moreno,0,0,Dicranum frigidum,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranum,frigidum,Especie,Nan,Müll.Hal.,Musgo,,,,
UPTC:26:27147,Evento,es,891.800.330-1,Universidad Pedagógica y Tecnológica de Colombia (UPTC),Herbario UPTC,UPTC,HumanObservation,UPTC:26:27147,27147,Nan,D.A-Moreno 3821,D. A. Moreno | N. T. Manrique,1,Presente,Seco,En colección,9.0,Colecta general,8 Horas/ dia,1/08/2018,8:00/16:00,2018,8,1,Bosque,Cortícola,SA,Colombia,CO,Boyacá,Ciénega,Vereda Albañil,3148.0,3148.0,3148.0,5°23'31.6''N | 73°14'38.2''W,5°23'31.6''N,73°14'38.2''W,Grados minutos segundos,WGS84,53998611.0,-732691389.0,WGS84,D. A. Moreno,0,0,Schiffneriolejeunea,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae,Schiffneriolejeunea,0,Género,sp.,0,Hepática,,,,
UPTC:26:27148,Evento,es,891.800.330-1,Universidad Pedagógica y Tecnológica de Colombia (UPTC),Herbario UPTC,UPTC,HumanObservation,UPTC:26:27148,27148,Nan,D.A-Moreno 3822,D. A. Moreno | N. T. Manrique,1,Presente,Seco,En colección,10.0,Colecta general,8 Horas/ dia,1/08/2018,8:00/16:00,2018,8,1,Bosque,Cortícola,SA,Colombia,CO,Boyacá,Ciénega,Vereda Albañil,3148.0,3148.0,3148.0,5°23'31.6''N | 73°14'38.2''W,5°23'31.6''N,73°14'38.2''W,Grados minutos segundos,WGS84,53998611.0,-732691389.0,WGS84,D. A. Moreno,0,0,Prionodon luteovirens,Plantae,Bryophyta,Bryopsida,Hypnales,Prionodontaceae,Prionodon,luteovirens,Especie,Nan,(Taylor) Mitt.,Musgo,,,,
UPTC:26:27149,Evento,es,891.800.330-1,Universidad Pedagógica y Tecnológica de Colombia (UPTC),Herbario UPTC,UPTC,HumanObservation,UPTC:26:27149,27149,Nan,D.A-Moreno 3823,D. A. Moreno | N. T. Manrique,1,Presente,Seco,En colección,11.0,Colecta general,8 Horas/ dia,1/08/2018,8:00/16:00,2018,8,1,Bosque,Cortícola,SA,Colombia,CO,Boyacá,Ciénega,Vereda Albañil,3148.0,3148.0,3148.0,5°23'31.6''N | 73°14'38.2''W,5°23'31.6''N,73°14'38.2''W,Grados minutos segundos,WGS84,53998611.0,-732691389.0,WGS84,D. A. Moreno,0,0,Leptodontium brachyphyllum,Plantae,Bryophyta,Bryopsida,Pottiales,Pottiaceae,Leptodontium,brachyphyllum,Especie,Nan,Broth & Ther.,Musgo,,,,
